v.Pk 1 Vivid Pink	#FFB5BA
s.Pk 2 Strong Pink	#EA9399
deep Pk 3 Deep Pink	#E4717A
l.Pk 4 Light Pink	#F9CCCA
m.Pk 5 Moderate Pink	#DEA5A4
d.Pk 6 Dark Pink	#C08081
p.Pk 7 Pale Pink	#EAD8D7
gy.Pk 8 Grayish Pink	#C4AEAD
pkWhite 9 Pinkish White	#EAE3E1
pkGy 10 Pinkish Gray	#C1B6B3
v.R 11 Vivid Red	#BE0032
s.R 12 Strong Red	#BC3F4A
deep R 13 Deep Red	#841B2D
v.deep R 14 Very Deep Red	#5C0923
m.R 15 Moderate Red	#AB4E52
d.R 16 Dark Red	#722F37
v.d.R 17 Very Dark Red	#3F1728
l.gy.R 18 Light Grayish Red	#AD8884
gy.R 19 Grayish Red	#905D5D
d.gy.R 20 Dark Grayish Red	#543D3F
Blackish R 21 Blackish Red	#2E1D21
rGy 22 Reddish Gray	#8F817F
d.rGy 23 Dark Reddish Gray	#5C504F
rBlack 24 Reddish Black	#282022
v.yPk 25 Vivid Yellowish Pink	#FFB7A5
s.yPk 26 Strong Yellowish Pink	#F99379
deep yPk 27 Deep Yellowish Pink	#E66761
l.yPk 28 Light Yellowish Pink	#F4C2C2
m.yPk 29 Moderate Yellowish Pink	#D9A6A9
d.yPk 30 Dark Yellowish Pink	#C48379
p.yPk 31 Pale Yellowish Pink	#ECD5C5
gy.yPk 32 Grayish Yellowish Pink	#C7ADA3
brPk 33 Brownish Pink	#C2AC99
v.rO 34 Vivid Reddish Orange	#E25822
s.rO 35 Strong Reddish Orange	#D9603B
deep rO 36 Deep Reddish Orange	#AA381E
m.rO 37 Moderate Reddish Orange	#CB6D51
d.rO 38 Dark Reddish Orange	#9E4732
gy.rO 39 Grayish Reddish Orange	#B4745E
s.rBr 40 Strong Reddish Brown	#882D17
deep rBr 41 Deep Reddish Brown	#56070C
l.rBr 42 Light Reddish Brown	#A87C6D
m.rBr 43 Moderate Reddish Brown	#79443B
d.rBr 44 Dark Reddish Brown	#3E1D1E
l.gy.rBr 45 Light Grayish Reddish Brown	#977F73
gy.rBr 46 Grayish Reddish Brown	#674C47
d.gy.rBr 47 Dark Grayish Reddish Brown	#43302E
v.O 48 Vivid Orange	#F38400
brill.O 49 Brilliant Orange	#FD943F
s.O 50 Strong Orange	#ED872D
deep O 51 Deep Orange	#BE6516
