Chromosome,DyeCombo,FalseColor1,RGB1,FalseColor2,RGB2,FalseColor3,RGB3,FalseColor4,RGB4
1,BCD,dull yellow,"(204, 204, 51)",yellow,"(255, 255, 100)",yellow,"(255, 255, 4)",yellow,"(255, 255, 4)"
2,E,reddish,"(204, 51, 51)",reddish,"(209,47, 1)",dk red,"(170, 10, 12)",dk red,"(170, 10, 12)"
3,ACDE,ltblue,"(107, 92, 246)",lt pink,"(234, 224, 235)",lavender,"(192, 174, 198)",lavender,"(192, 174, 198)"
4,CD,green,"(72, 250, 31)",blue,"(0, 130, 233)",cyan,"(2, 255, 255)",cyan,"(2, 255, 255)"
5,ABDE,magenta,"(242, 83, 251)",orange,"(255, 109, 22)",dk orange,"(255, 76, 0)",dk orange,"(255, 76, 0)"
6,BCDE,orange,"(251, 185, 76)",red,"(238, 61, 87)",reddish,"(224, 13, 84)",reddish,"(224, 13, 84)"
7,BC,orangish,"(218, 127, 40)",pink,"(255, 203, 207)",coral,"(255, 154, 165)",coral,"(255, 154, 165)"
8,D,lavender,"(138, 98, 174)",mustard,"(173, 166, 76)",orange,"(247, 104, 8)",orange,"(247, 104, 8)"
9,ADE,blueish,"(138, 191, 248)",white,"(255, 255, 255)",white,"(255, 255, 255)",white,"(255, 255, 255)"
10,CE,olive,"(153, 153, 51)",dk green,"(0, 87, 61)",green,"(11, 131, 23)",green,"(11, 131, 23)"
11,ACD,teal,"(77, 152, 147)",blue,"(0, 127, 216)",lt blue,"(0, 167, 241)",lt blue,"(0, 167, 241)"
12,BE,dk red,"(153, 51, 51)",hot pink,"(237, 61, 125)",magenta,"(250, 9, 244)",magenta,"(250, 9, 244)"
13,AD,cyan,"(85, 246, 253)",orangish,"(238, 64, 13)",red,"(248, 2, 0)",red,"(248, 2, 0)"
14,B,red,"(251, 58, 64)",more pink,"(235, 118, 150)",dk pink,"(255, 75, 123)",dk pink,"(255, 75, 123)"
15,ABC,purple,"(166, 120, 255)",lt cyan,"(161, 223, 220)",sea green,"(107, 213, 151)",sea green,"(107, 213, 151)"
16,BD,yellow,"(255, 255, 51)",orange,"(254, 186, 89)",lt orange,"(255, 152, 0)",lt orange,"(255, 152, 0)"
17,C,blue,"(37, 126, 250)",purple,"(162, 46, 147)",blue,"(0, 86, 224)",blue,"(0, 86, 224)"
18,ABD,lt purple,"(216, 147, 255)",red,"(239, 59, 62)",deep pink,"(233, 1, 84)",deep pink,"(233, 1, 84)"
19,AC,dk green,"(45, 179, 26)",sea geen,"(125, 207, 159)",lt green,"(78, 255, 82)",lt green,"(78, 255, 82)"
20,A,blue,"(71, 186, 255)",dk blue,"(0, 79, 174)",bright blue,"(0, 25, 255)",bright blue,"(0, 25, 255)"
21,DE,yo,"(220, 228, 56)",cream,"(255, 254, 221)",pale yellow,"(251, 255, 154)",pale yellow,"(251, 255, 154)"
22,ABCE,yo,"(185, 159, 39)",lavender,"(255, 180, 245)",pink,"(253, 129, 255)",pink,"(253, 129, 255)"
X,AE,lt green,"(147, 244, 65)",dk green,"(4, 47, 27)",dk green,"(0, 78, 0)",dk green,"(0, 78, 0)"
Y,CDE,green,"(10, 130, 92)",green,"(10, 130, 92)",green,"(10, 130, 92)",green,"(0, 181, 0)"
