"","NC","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Loss_1q44",1,0.021502517111802,-0.00388983375078908,-0.0296096635819588,0.0497881586504202,-0.000127956854291152,0.0488442709009005,-0.14174201997718,-0.0451118401164906,0.0565959847985907,-0.022121670871925
"Gain_1q44",1,0.0234750401824417,-0.0862990094829668,0.00388018880957363,-0.0294529086133995,-0.00457957748103957,0.00934904599288165,-0.0042382250890385,-0.0652700800937992,-0.0398067141395759,-0.0636053464425488
"Fusion_1q44",1,0.0122425499567534,-0.00609281156471146,-0.00645086810027251,0.0187482743023386,0.000548696870153646,0.00478038047877363,-0.0299082678358228,-0.00555683316482028,0.00772890692795219,-0.00420095732433138
"Loss_1q43",1,0.0215779935921544,-0.00375748247740604,-0.0296142374394772,0.0498695109261224,-6.511199476618e-05,0.0488880211128042,-0.14192961429077,-0.0451727555553769,0.0566660958895018,-0.0222581352057945
"Fusion_1q43",1,0.00521212094651838,0.00199708644394359,0.00837747517550119,0.00465329699047226,-0.00665908370931212,-0.00464047967087893,-0.00403063896767913,-0.0129222917726243,0.00439500905680661,0.0129735529148198
"Loss_1q423",1,0.0215595963512503,-0.00371878656886993,-0.0295748415594294,0.0496962489583168,-0.000152759339010744,0.0487362811685371,-0.14179293407661,-0.0451619578770006,0.0567321403586014,-0.0220795370998356
"Gain_1q423",1,0.0226392164872303,-0.0848435555081883,0.00366941572751756,-0.029084219794789,-0.00461208696303361,0.00938241036258966,-0.00413674203716116,-0.0645698450356708,-0.0391747788335874,-0.0632574088909269
"Fusion_1q423",1,-0.000789186073575721,-0.00253552963908978,-0.000553591454981628,-0.000906862173921913,-0.0017055472963862,0.000538663268919881,-0.000535255572708615,-0.00432473576758213,-0.0003856467017192,-0.00392181641625799
"Loss_1q41",1,0.0216114071569075,-0.00381326979986216,-0.029732239233436,0.0499535990419647,-0.000456329036307984,0.0488298455444605,-0.141838674159088,-0.0452939329217096,0.0570338207856914,-0.0220855254099969
"Fusion_1q41",1,-0.000313144659070382,0.00124607300859522,-0.000188928871216132,-0.00168299885290241,0.00113547143084851,0.00144906361747108,-0.00411243731894226,0.000587107981837989,-0.00107500270001013,-0.000897187291093622
"Loss_1q323",1,0.0216077962304471,-0.00381180202293951,-0.029731919387979,0.0499478903574659,-0.000467379372858746,0.0488255013414792,-0.141825121274266,-0.0452840441449991,0.0570541187973636,-0.0220775502817499
"Gain_1q323",1,0.0219690976293862,-0.0835338623829467,0.00336764315321421,-0.0286613947691513,-0.00490089972373357,0.00971516048565788,-0.0044195421064871,-0.064331516238505,-0.0384952617490656,-0.0629775915550695
"Fusion_1q323",1,-0.000791114426601167,-0.00156932736293376,9.91376796498286e-05,0.000941417391511601,-0.00164821542206072,0.00347712519959281,-0.00724584072354914,-0.00669880615229124,0.00629385862499093,-0.00321159089439108
"Loss_1q313",1,0.0214052558144459,-0.00384369278504309,-0.0325644006201903,0.05071117948413,-0.000117315626939929,0.0498065164208421,-0.146341411078448,-0.0462245589569984,0.0567428190877497,-0.0227107386829585
"Gain_1q313",1,0.0217796980605402,-0.0832153592086199,0.00330425745270649,-0.0285308082176584,-0.00494502986492442,0.00975935110313203,-0.00444613398392285,-0.0643570549528884,-0.0384320209499535,-0.0630587550229951
"Fusion_1q313",1,0.000125393682669223,-0.00428577797746108,-0.00195192285287709,0.00465596656646518,-0.000739357268929299,0.00266085062513877,-0.00419280923102411,-0.00587545601448886,0.00291494286157568,-0.005924757523879
"Loss_1q253",1,0.0220555994679516,-0.00387033810661973,-0.0326773823488192,0.0507094201942334,9.21521380407228e-05,0.0499546495639441,-0.147248927929237,-0.0463567962791831,0.0564458569604565,-0.0228259051322566
"Gain_1q253",1,0.0218848995404469,-0.0834032375107426,0.0033474906246568,-0.0286415247087193,-0.0049090056955752,0.00975715539864805,-0.00449629953089123,-0.0644915165496215,-0.0386012816545673,-0.0632235005935561
"Fusion_1q253",1,0.00175773000248469,-0.00070479002325354,2.98724684325295e-05,0.00233598863263813,-0.00155025199727277,0.0109525037461389,-0.0049750460746896,-0.00119307065580065,0.00133613810973816,0.000499129350570726
"Loss_1q243",1,0.0223647989657098,-0.00363995299472914,-0.0327118661051242,0.0508243753037638,0.000157459766484919,0.0504109877119005,-0.147514736675438,-0.0469400665576719,0.0560299296899991,-0.0233202035846444
"Gain_1q243",1,0.0220968837061358,-0.0841927570392988,0.00304919328352372,-0.0290374591271645,-0.00434485396444924,0.0100911226063543,-0.00455761129651608,-0.0642257079495353,-0.0386632854010025,-0.0639866777241119
"Fusion_1q243",1,0.0010828322245711,0.00106104493655178,-0.00210078284864714,-0.00103560745390272,-0.00465611597997608,0.0128434950964055,-0.00142044984280612,-0.000493126363726309,0.00153004821410267,-0.000609783939653941
"Loss_1q233",1,0.0218926817696233,-0.00383644373194968,-0.0338406438818764,0.0507551122419229,0.000950472857191458,0.0511209046246738,-0.147970770192013,-0.0455725458446596,0.0555183076076929,-0.0246769661700834
"Fusion_1q233",1,0.00139351195551958,-0.00651651375783859,-0.00481810185318373,0.0071872031580425,-0.00109249266660938,0.0125381607479078,-0.022537245518814,-0.00682241983914975,0.00728051621116169,0.000871536501477971
"Loss_1q22",1,0.0227364863162891,-0.00318951560766597,-0.034175830345523,0.0506140460089158,0.000912295812590558,0.0514193408818719,-0.147315497442356,-0.0453932590674764,0.0543674616181138,-0.0246334354941505
"Gain_1q22",1,0.0222868643294727,-0.0844216313292156,0.00315143050328382,-0.0291533627198914,-0.00437029458555438,0.0101270131787311,-0.00472746038727336,-0.0648115063853009,-0.0390638537331804,-0.06443292662911
"Fusion_1q22",1,0.00197689743158544,-0.000469071732415721,-0.000913204811359153,0.00108262556179805,-0.00103715790248671,0.0113006041284871,-0.0126208648587204,-0.00481443420349868,0.00300221215032515,-0.00201240129366083
"Loss_1q213",1,0.0228923315539221,-0.00300594990234579,-0.0346526260826347,0.0503952159859465,0.000494182352016037,0.0512719810926747,-0.145861958354554,-0.0451584213484095,0.0537014256685332,-0.0248634042114356
"Gain_1q213",1,0.0224758659328402,-0.0847767003454985,0.00319726807031144,-0.0292999252452118,-0.00429822944085922,0.0100658556736116,-0.00466737997410993,-0.064780447147779,-0.0390781348081852,-0.0643483590021473
"Fusion_1q213",1,0.0010480021449443,-0.0067646903475647,-0.00764387478569925,0.0117336611458865,-0.00154485686744849,0.0137512610183019,-0.034323308888526,-0.013259417795312,0.0136519989849079,-0.00615413821865271
"Loss_1q12",1,0.0259596946042149,-0.000557709372247048,-0.0320844994251264,0.0485101795523328,-0.00436301976286908,0.049439373841117,-0.137848609703094,-0.0418604803302873,0.0480460635198434,-0.0273811812613644
"Gain_1q12",1,0.0250711775820257,-0.0864507519184501,0.00171626850998664,-0.0318526517507784,-0.00332347954742983,0.00999988815854861,-0.00415670296169601,-0.0661619275161799,-0.0396933804516815,-0.0650436576789457
"Fusion_1q12",1,0.00189003815974575,-0.00424619528684092,-0.00592011891950651,0.0111440492364338,-0.00329977225807405,0.0127346729709841,-0.0361509094620539,-0.0191930892249957,0.0151211430226216,-0.0108073334764118
"Loss_1q11",1,0.0300580922781179,0.000422620014321554,-0.0330120569776386,0.0481554483695334,-0.00478800780223661,0.0486988948187197,-0.133837950028895,-0.0375751295163747,0.042023344401222,-0.0261148866150943
