shortName	longName	Hex
v.Pk	Vivid_Pink	#FFB5BA
s.Pk	Strong_Pink	#EA9399
deep_Pk	Deep_Pink	#E4717A
l.Pk	Light_Pink	#F9CCCA
m.Pk	Moderate_Pink	#DEA5A4
d.Pk	Dark_Pink	#C08081
p.Pk	Pale_Pink	#EAD8D7
gy.Pk	Grayish_Pink	#C4AEAD
pkWhite	Pinkish_White	#EAE3E1
pkGy	Pinkish_Gray	#C1B6B3
v.R	Vivid_Red	#BE0032
s.R	Strong_Red	#BC3F4A
deep_R	Deep_Red	#841B2D
v.deep_R	Very_Deep_Red	#5C0923
m.R	Moderate_Red	#AB4E52
d.R	Dark_Red	#722F37
v.d.R	Very_Dark_Red	#3F1728
l.gy.R	Light_Grayish_Red	#AD8884
gy.R	Grayish_Red	#905D5D
d.gy.R	Dark_Grayish_Red	#543D3F
Blackish_R	Blackish_Red	#2E1D21
rGy	Reddish_Gray	#8F817F
d.rGy	Dark_Reddish_Gray	#5C504F
rBlack	Reddish_Black	#282022
v.yPk	Vivid_Yellowish_Pink	#FFB7A5
s.yPk	Strong_Yellowish_Pink	#F99379
deep_yPk	Deep_Yellowish_Pink	#E66761
l.yPk	Light_Yellowish_Pink	#F4C2C2
m.yPk	Moderate_Yellowish_Pink	#D9A6A9
d.yPk	Dark_Yellowish_Pink	#C48379
p.yPk	Pale_Yellowish_Pink	#ECD5C5
gy.yPk	Grayish_Yellowish_Pink	#C7ADA3
brPk	Brownish_Pink	#C2AC99
v.rO	Vivid_Reddish_Orange	#E25822
s.rO	Strong_Reddish_Orange	#D9603B
deep_rO	Deep_Reddish_Orange	#AA381E
m.rO	Moderate_Reddish_Orange	#CB6D51
d.rO	Dark_Reddish_Orange	#9E4732
gy.rO	Grayish_Reddish_Orange	#B4745E
s.rBr	Strong_Reddish_Brown	#882D17
deep_rBr	Deep_Reddish_Brown	#56070C
l.rBr	Light_Reddish_Brown	#A87C6D
m.rBr	Moderate_Reddish_Brown	#79443B
d.rBr	Dark_Reddish_Brown	#3E1D1E
l.gy.rBr	Light_Grayish_Reddish_Brown	#977F73
gy.rBr	Grayish_Reddish_Brown	#674C47
d.gy.rBr	Dark_Grayish_Reddish_Brown	#43302E
v.O	Vivid_Orange	#F38400
brill.O	Brilliant_Orange	#FD943F
s.O	Strong_Orange	#ED872D
deep_O	Deep_Orange	#BE6516
l.O	Light_Orange	#FAB57F
m.O	Moderate_Orange	#D99058
brO	Brownish_Orange	#AE6938
s.Br	Strong_Brown	#80461B
deep_Br	Deep_Brown	#593319
l.Br	Light_Brown	#A67B5B
m.Br	Moderate_Brown	#6F4E37
d.Br	Dark_Brown	#422518
l.gy.Br	Light_Grayish_Brown	#958070
gy.Br	Grayish_Brown	#635147
d.gy.Br	Dark_Grayish_Brown	#3E322C
l.brGy	Light_Brownish_Gray	#8E8279
brGy	Brownish_Gray	#5B504F
brBlack	Brownish_Black	#28201C
v.OY	Vivid_Orange_Yellow	#F6A600
brill.OY	Brilliant_Orange_Yellow	#FFC14F
s.OY	Strong_Orange_Yellow	#EAA221
deep_OY	Deep_Orange_Yellow	#C98500
l.OY	Light_Orange_Yellow	#FBC97F
m.OY	Moderate_Orange_Yellow	#E3A857
d.OY	Dark_Orange_Yellow	#BE8A3D
p.OY	Pale_Orange_Yellow	#FAD6A5
